Year;pop;ISO3166_alpha3;ISO3166_numeric;biodiesel_cons_kbd;biodiesel_cons_kboed;biodiesel_cons_ktoe;biodiesel_cons_pj;biodiesel_prod_kbd;biodiesel_prod_kboed;biodiesel_prod_ktoe;biodiesel_prod_pj;biofuels_cons_ej;biofuels_cons_kbd;biofuels_cons_kboed;biofuels_cons_ktoe;biofuels_cons_mtoe;biofuels_cons_pj;biofuels_prod_kbd;biofuels_prod_kboed;biofuels_prod_ktoe;biofuels_prod_pj;biogeo_ej;biogeo_mtoe;biogeo_twh;co2_mtco2;coalcons_ej;coalcons_mtoe;coalprod_ej;coalprod_mt;coalprod_mtoe;cobalt_kt;elect_twh;electbyfuel_coal;electbyfuel_gas;electbyfuel_oil;ethanol_cons_kbd;ethanol_cons_kboed;ethanol_cons_ktoe;ethanol_cons_pj;ethanol_prod_kbd;ethanol_prod_kboed;ethanol_prod_ktoe;ethanol_prod_pj;gascons_bcfd;gascons_bcm;gascons_ej;gascons_mtoe;gasprod_bcfd;gasprod_bcm;gasprod_ej;gasprod_mtoe;gasreserves_tcm;graphite_kt;hydro_ej;hydro_mtoe;hydro_twh;liqcons_kbd;lithium_kt;nuclear_ej;nuclear_mtoe;nuclear_twh;oilcons_ej;oilcons_kbd;oilcons_mt;oilcons_mtoe;oilprod_crudecond_kbd;oilprod_kbd;oilprod_mt;oilprod_ngl_kbd;oilreserves_bbl;primary_ej;primary_gj_pc;primary_mtoe;rareearths_kt;refcap_kbd;refthru_kbd;ren_power_ej;ren_power_mtoe;ren_power_twh;renewables_ej;renewables_mtoe;solar_ej;solar_mtoe;solar_twh;wind_ej;wind_mtoe;wind_twh
1975;16,607706;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;30,62;0,00;0,02;;;;;;;;;;;;;;;;;0,28;2,85;0,10;2,45;0,60;6,15;0,22;5,29;;;0,00;0,08;0,33;72,88;;0,00;0,00;0,00;0,15;72,88;3,38;3,49;;1025,50;46,80;;;0,25;15,24;6,05;;116,28;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1976;17,085799;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;38,84;0,00;0,05;;;;;;;;;;;;;;;;;0,33;3,37;0,12;2,90;0,75;7,75;0,28;6,66;;;0,00;0,09;0,39;84,68;;0,00;0,00;0,00;0,17;84,68;3,88;4,02;;1144,41;52,23;;;0,30;17,28;7,05;;116,28;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1977;17,582899;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;42,46;0,00;0,06;;;;;;;;;;;;;;;;;0,35;3,59;0,13;3,09;0,72;7,42;0,27;6,38;;;0,00;0,06;0,27;95,22;;0,00;0,00;0,00;0,19;95,22;4,40;4,54;;1224,79;55,76;;;0,32;18,46;7,75;;116,28;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1978;18,102266;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;48,64;0,00;0,03;;;;;;;;;;;;;;;;;0,56;5,77;0,21;4,96;1,11;11,50;0,41;9,89;;;0,00;0,06;0,25;99,39;;0,00;0,00;0,00;0,20;99,39;4,52;4,70;;1252,73;56,94;;;0,41;22,54;9,74;;110,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1979;18,647801;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;51,84;0,00;0,07;;;;;;;;;;;;;;;;;0,79;8,15;0,29;7,01;1,82;18,85;0,68;16,21;;;0,00;0,07;0,29;118,64;;0,00;0,00;0,00;0,24;118,64;5,42;5,62;;1282,88;58,09;;;0,53;28,67;12,77;;134,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1980;19,221659;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;57,64;0,00;0,06;;;;;;;;;;;;;;;;;1,06;10,94;0,39;9,41;1,49;15,41;0,55;13,25;3,58;;0,00;0,06;0,26;120,23;;0,00;0,00;0,00;0,24;120,23;5,47;5,69;;1134,18;51,54;;8,20;0,64;33,17;15,23;;440,00;226,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1981;19,824297;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;59,56;0,00;0,05;;;;;;;;;;;;;;;;;1,38;14,23;0,51;12,23;1,73;17,86;0,64;15,36;3,54;;0,00;0,09;0,37;130,10;;0,00;0,00;0,00;0,26;130,10;5,89;6,13;;1029,28;45,93;;8,08;0,77;39,06;18,50;;440,00;307,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1982;20,452901;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;63,75;0,03;0,84;;;;;;;;;;;;;;;;;1,56;16,14;0,58;13,88;2,26;23,31;0,84;20,04;3,48;;0,00;0,11;0,48;137,66;;0,00;0,00;0,00;0,27;137,66;6,25;6,50;;1039,66;45,69;;9,44;0,89;43,66;21,33;;440,00;411,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1983;21,101875;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;67,64;0,03;0,75;;;;;;;;;;;;;;;;;1,71;17,67;0,64;15,19;3,23;33,38;1,20;28,70;3,40;;0,00;0,06;0,24;155,15;;0,00;0,00;0,00;0,31;155,15;7,01;7,30;;1026,93;44,95;;9,22;0,98;46,22;23,30;;440,00;377,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1984;21,763578;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;68,20;0,03;0,83;;;;;;;;;;;;;;;;;1,50;15,53;0,56;13,35;3,28;33,98;1,22;29,21;3,31;;0,00;0,11;0,45;171,79;;0,00;0,00;0,00;0,34;171,79;7,76;8,08;;1122,49;48,79;;9,00;0,94;43,03;22,37;;440,00;410,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
