Year;pop;ISO3166_alpha3;ISO3166_numeric;biodiesel_cons_kbd;biodiesel_cons_kboed;biodiesel_cons_ktoe;biodiesel_cons_pj;biodiesel_prod_kbd;biodiesel_prod_kboed;biodiesel_prod_ktoe;biodiesel_prod_pj;biofuels_cons_ej;biofuels_cons_kbd;biofuels_cons_kboed;biofuels_cons_ktoe;biofuels_cons_mtoe;biofuels_cons_pj;biofuels_prod_kbd;biofuels_prod_kboed;biofuels_prod_ktoe;biofuels_prod_pj;biogeo_ej;biogeo_mtoe;biogeo_twh;co2_mtco2;coalcons_ej;coalcons_mtoe;coalprod_ej;coalprod_mt;coalprod_mtoe;cobalt_kt;elect_twh;electbyfuel_coal;electbyfuel_gas;electbyfuel_oil;ethanol_cons_kbd;ethanol_cons_kboed;ethanol_cons_ktoe;ethanol_cons_pj;ethanol_prod_kbd;ethanol_prod_kboed;ethanol_prod_ktoe;ethanol_prod_pj;gascons_bcfd;gascons_bcm;gascons_ej;gascons_mtoe;gasprod_bcfd;gasprod_bcm;gasprod_ej;gasprod_mtoe;gasreserves_tcm;graphite_kt;hydro_ej;hydro_mtoe;hydro_twh;liqcons_kbd;lithium_kt;nuclear_ej;nuclear_mtoe;nuclear_twh;oilcons_ej;oilcons_kbd;oilcons_mt;oilcons_mtoe;oilprod_crudecond_kbd;oilprod_kbd;oilprod_mt;oilprod_ngl_kbd;oilreserves_bbl;primary_ej;primary_gj_pc;primary_mtoe;rareearths_kt;refcap_kbd;refthru_kbd;ren_power_ej;ren_power_mtoe;ren_power_twh;renewables_ej;renewables_mtoe;solar_ej;solar_mtoe;solar_twh;wind_ej;wind_mtoe;wind_twh
2007;14,296554;ECU;218,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,05;0,22;28,31;0,00;0,00;;;;;17,34;;;;;;;;;;;;0,05;0,55;0,02;0,47;;;;;;;0,09;2,06;9,04;182,75;;0,00;0,00;0,00;0,37;182,75;8,48;8,81;511,09;513,09;27,46;2,00;2,51;0,48;33,38;11,40;;175,00;150,34;0,00;0,05;0,22;0,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00
2008;14,53574;ECU;218,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,05;0,21;28,98;0,00;0,00;;;;;18,61;;;;;;;;;;;;0,05;0,50;0,02;0,43;;;;;;;0,11;2,56;11,29;188,07;;0,00;0,00;0,00;0,38;188,07;8,73;9,08;504,72;506,72;27,19;2,00;2,50;0,51;34,91;12,12;;175,00;155,48;0,00;0,05;0,21;0,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00
2009;14,774412;ECU;218,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,05;0,22;29,01;0,00;0,00;;;;;18,26;;;;;;;;;;;;0,06;0,59;0,02;0,51;;;;;;;0,09;2,08;9,23;190,67;;0,00;0,00;0,00;0,39;190,67;8,90;9,23;486,07;488,07;26,11;2,00;2,66;0,50;33,64;11,87;;175,00;155,70;0,00;0,05;0,22;0,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00
2010;15,011114;ECU;218,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,05;0,24;33,09;0,00;0,00;;;;;19,51;;;;;;;;;;;;0,06;0,62;0,02;0,53;;;;;;;0,08;1,94;8,64;220,42;;0,00;0,00;0,00;0,45;220,33;10,27;10,67;486,09;488,09;26,12;2,00;2,07;0,55;36,81;13,20;;175,00;136,56;0,00;0,05;0,24;0,00;0,06;0,00;0,00;0,00;0,00;0,00;0,00
2011;15,243885;ECU;218,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,06;0,28;33,80;0,00;0,00;;;;;20,54;;;;;;;;;;;;0,05;0,56;0,02;0,48;;;;;;;0,10;2,48;11,13;226,12;;0,00;0,00;0,00;0,46;226,05;10,54;10,95;499,61;500,61;26,81;1,00;2,01;0,59;38,38;13,97;;175,00;156,05;0,00;0,06;0,28;0,00;0,06;0,00;0,00;0,00;0,00;0,00;0,00
2012;15,474099;ECU;218,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,07;0,30;35,17;0,00;0,00;;;;;22,85;;;;;;;;;;;;0,07;0,75;0,03;0,64;;;;;;;0,11;2,71;12,24;232,98;;0,00;0,00;0,00;0,47;232,89;10,91;11,33;503,62;504,62;27,10;1,00;1,94;0,62;39,92;14,75;;175,00;152,06;0,00;0,07;0,30;0,00;0,07;0,00;0,00;0,00;0,00;0,00;0,00
2013;15,707473;ECU;218,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,07;0,30;38,06;0,00;0,00;;;;;23,26;;;;;;;;;;;;0,08;0,85;0,03;0,73;;;;;;;0,10;2,43;11,04;247,42;;0,00;0,00;0,00;0,50;247,33;11,56;12,01;526,35;527,35;28,24;1,00;2,06;0,64;40,65;15,25;;175,00;140,68;0,00;0,08;0,36;0,00;0,08;0,00;0,00;0,00;0,00;0,01;0,06
2014;15,951832;ECU;218,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,09;0,40;40,41;0,00;0,00;;;;;24,31;;;;;;;;;;;;0,08;0,87;0,03;0,75;;;;;;;0,10;2,51;11,46;260,37;;0,00;0,00;0,00;0,53;260,21;12,18;12,65;556,55;556,55;29,83;0,00;1,77;0,67;42,04;16,02;;175,00;125,24;0,00;0,11;0,50;0,00;0,11;0,00;0,00;0,02;0,00;0,02;0,08
2015;16,212022;ECU;218,00;;;;;;;;;0,00;;;;0,01;;;;;;0,00;0,09;0,41;39,64;0,00;0,00;;;;;25,95;;;;;;;;;;;;0,08;0,82;0,03;0,71;;;;;;;0,12;2,85;13,10;254,21;;0,00;0,00;0,00;0,51;253,94;11,79;12,27;543,09;543,09;29,11;0,00;1,81;0,67;41,18;15,95;;175,00;120,67;0,00;0,12;0,54;0,01;0,13;0,00;0,01;0,04;0,00;0,02;0,10
2016;16,491116;ECU;218,00;;;;;;;;;0,00;;;;0,01;;;;;;0,00;0,11;0,49;37,73;0,00;0,00;;;;;27,31;;;;;;;;;;;;0,09;0,89;0,03;0,76;;;;;;;0,14;3,42;15,83;239,76;;0,00;0,00;0,00;0,48;239,37;11,05;11,53;548,39;548,39;29,47;0,00;1,70;0,66;40,25;15,86;;175,00;150,17;0,01;0,13;0,61;0,01;0,14;0,00;0,01;0,04;0,00;0,02;0,08
2017;16,785356;ECU;218,00;;;;;;;;;0,00;;;;0,02;;;;;;0,00;0,09;0,43;36,43;0,00;0,00;;;;;28,03;;;;;;;;;;;;0,08;0,82;0,03;0,71;;;;;;;0,18;4,32;20,09;237,15;;0,00;0,00;0,00;0,47;236,47;10,76;11,25;531,31;531,31;28,48;0,00;1,63;0,69;40,95;16,42;;175,00;156,04;0,00;0,12;0,54;0,01;0,14;0,00;0,01;0,04;0,00;0,02;0,07
2018;17,084359;ECU;218,00;;;;;;;;;0,00;;;;0,02;;;;;;0,00;0,09;0,43;38,84;0,00;0,00;;;;;29,67;;;;;;;;;;;;0,07;0,71;0,03;0,61;;;;;;;0,19;4,42;20,68;255,29;;0,00;0,00;0,00;0,51;254,69;11,67;12,18;517,24;517,24;27,72;0,00;1,30;0,73;42,51;17,35;;175,00;159,25;0,00;0,12;0,55;0,01;0,13;0,00;0,01;0,04;0,00;0,02;0,08
2019;17,373657;ECU;218,00;;;;;;;;;0,00;;;;0,02;;;;;;0,00;0,10;0,45;37,50;0,00;0,00;;;;;32,86;;;;;;;;;;;;0,06;0,63;0,02;0,54;;;;;;;0,22;5,25;24,66;249,31;;0,00;0,00;0,00;0,49;248,60;11,29;11,81;531,00;531,00;28,46;0,00;1,30;0,74;42,84;17,78;;175,00;142,28;0,01;0,15;0,71;0,01;0,17;0,00;0,04;0,17;0,00;0,02;0,09
2020;17,64306;ECU;218,00;;;;;;;;;0,00;;;;0,03;;;;;;0,00;0,10;0,48;30,69;0,00;0,00;;;;;32,05;;;;;;;;;;;;0,05;0,55;0,02;0,47;;;;;;;0,22;5,25;24,77;203,07;;0,00;0,00;0,00;0,40;201,99;9,06;9,50;479,37;479,37;25,76;0,00;1,30;0,65;36,57;15,41;;175,00;116,48;0,01;0,16;0,74;0,01;0,19;0,00;0,04;0,17;0,00;0,02;0,09
1965;30,433024;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;22,90;0,02;0,40;;;;;;;;;;;;;;;;;0,00;0,05;0,00;0,04;;;;;;;0,02;0,41;1,73;130,74;;0,00;0,00;0,00;0,29;130,74;6,94;7,00;;126,01;6,48;;;0,33;10,81;7,86;;180,74;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1966;31,237597;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;24,03;0,01;0,27;;;;;;;;;;;;;;;;;0,01;0,05;0,00;0,05;;;;;;;0,02;0,44;1,83;139,93;;0,00;0,00;0,00;0,31;139,93;7,45;7,51;;121,71;6,26;;;0,35;11,08;8,27;;180,74;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1967;32,056506;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;20,12;0,02;0,42;;;;;;;;;;;;;;;;;0,01;0,05;0,00;0,05;;;;;;;0,02;0,47;1,97;115,72;;0,00;0,00;0,00;0,26;115,72;6,06;6,13;;108,56;5,58;;;0,30;9,23;7,07;;136,16;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1968;32,881852;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;21,06;0,02;0,44;;;;;;;;;;;;;;;;;0,01;0,05;0,00;0,05;;;;;;;0,03;0,72;3,00;120,50;;0,00;0,00;0,00;0,27;120,50;6,34;6,41;;166,38;8,58;;;0,32;9,70;7,62;;130,53;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1969;33,703127;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;15,88;0,02;0,47;;;;;;;;;;;;;;;;;0,01;0,07;0,00;0,06;;;;;;;0,04;0,95;3,99;91,51;;0,00;0,00;0,00;0,20;91,51;4,68;4,76;;239,16;12,30;;;0,26;7,76;6,25;;80,33;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1970;34,513851;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;20,20;0,02;0,44;;;;;;;;;;;;;;;;;0,01;0,08;0,00;0,07;0,01;0,08;0,00;0,07;;;0,05;1,12;4,69;117,09;;0,00;0,00;0,00;0,26;117,09;6,08;6,16;;319,09;16,40;;;0,33;9,45;7,79;;175,40;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1971;35,311905;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;20,49;0,02;0,36;;;;;;;;;;;;;;;;;0,01;0,08;0,00;0,07;0,01;0,08;0,00;0,07;;;0,05;1,21;5,05;122,03;;0,00;0,00;0,00;0,27;122,03;6,26;6,37;;290,85;14,95;;;0,34;9,49;8,00;;175,40;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1972;36,10267;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;23,13;0,01;0,32;;;;;;;;;;;;;;;;;0,01;0,07;0,00;0,06;0,01;0,07;0,00;0,06;;;0,05;1,23;5,16;139,71;;0,00;0,00;0,00;0,30;139,71;7,15;7,28;;207,96;10,72;;;0,37;10,31;8,89;;175,40;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1973;36,896551;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;21,60;0,01;0,28;;;;;;;;;;;;;;;;;0,01;0,05;0,00;0,05;0,01;0,05;0,00;0,05;;;0,05;1,23;5,15;131,57;;0,00;0,00;0,00;0,29;131,57;6,72;6,84;;164,93;8,48;;;0,35;9,53;8,40;;175,40;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1974;37,708144;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;24,62;0,02;0,48;;;;;;;;;;;;;;;;;0,01;0,06;0,00;0,05;0,01;0,06;0,00;0,05;;;0,06;1,46;6,12;145,40;;0,00;0,00;0,00;0,32;145,40;7,41;7,55;;144,98;7,45;;;0,40;10,59;9,54;;175,40;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1975;38,549133;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;30,84;0,02;0,58;;;;;;;;;;;;;;;;;0,00;0,05;0,00;0,04;0,00;0,05;0,00;0,04;;;0,07;1,62;6,79;159,37;;0,00;0,00;0,00;0,35;159,37;8,22;8,34;;228,25;11,73;;;0,44;11,49;10,58;;200,82;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1976;39,422731;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;35,15;0,02;0,56;;;;;;;;;;;;;;;;;0,04;0,37;0,01;0,31;0,04;0,37;0,01;0,31;;;0,08;1,91;8,00;187,54;;0,00;0,00;0,00;0,41;187,54;9,73;9,87;;322,22;16,61;;;0,53;13,44;12,66;;222,91;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1977;40,329589;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;37,36;0,03;0,64;;;;;;;;;;;;;;;;;0,04;0,44;0,02;0,38;0,04;0,44;0,02;0,38;;;0,09;2,16;9,04;201,48;;0,00;0,00;0,00;0,44;201,48;10,39;10,54;;406,55;20,90;;;0,57;14,25;13,73;;293,20;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1978;41,275728;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;38,27;0,03;0,62;;;;;;;;;;;;;;;;;0,07;0,71;0,03;0,61;0,07;0,71;0,03;0,61;;;0,10;2,37;9,93;208,77;;0,00;0,00;0,00;0,46;208,77;10,73;10,89;;490,74;25,19;;;0,61;14,70;14,49;;314,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1979;42,267429;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;42,26;0,03;0,68;;;;;;;;;;;;;;;;;0,10;1,08;0,04;0,93;0,10;1,08;0,04;0,93;;;0,10;2,29;9,61;229,01;;0,00;0,00;0,00;0,50;229,01;11,76;11,95;;509,32;26,14;;;0,66;15,70;15,85;;314,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1980;43,309063;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;48,14;0,02;0,55;;;;;;;;;;;;;;;;;0,20;2,10;0,08;1,80;0,20;2,10;0,08;1,80;0,08;;0,10;2,34;9,80;255,84;;0,00;0,00;0,00;0,56;255,84;13,14;13,35;;580,12;29,78;;2,92;0,76;17,45;18,05;;324,00;277,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1981;44,400113;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;55,04;0,03;0,71;;;;;;;;;;;;;;;;;0,23;2,35;0,08;2,02;0,23;2,35;0,08;2,02;0,08;;0,10;2,44;10,21;296,01;;0,00;0,00;0,00;0,64;296,01;15,15;15,40;;628,00;32,15;;3,53;0,86;19,40;20,57;;361,00;302,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1982;45,539295;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;60,84;0,03;0,73;;;;;;;;;;;;;;;;;0,25;2,57;0,09;2,21;0,25;2,57;0,09;2,21;0,20;;0,10;2,51;10,49;336,03;;0,00;0,00;0,00;0,73;336,03;17,24;17,52;;650,79;33,31;;3,70;0,96;21,12;22,97;;386,00;337,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1983;46,728284;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;66,06;0,03;0,70;;;;;;;;;;;;;;;;;0,29;3,01;0,11;2,59;0,29;3,01;0,11;2,59;0,19;;0,10;2,34;9,82;368,61;;0,00;0,00;0,00;0,80;368,61;18,92;19,22;;711,81;36,43;;3,96;1,04;22,27;24,85;;386,00;364,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1984;47,968643;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;71,49;0,03;0,71;;;;;;;;;;;;;;;;;0,37;3,87;0,14;3,33;0,37;3,87;0,14;3,33;0,23;;0,10;2,30;9,63;398,21;;0,00;0,00;0,00;0,87;398,21;20,48;20,79;;815,94;41,84;;4,03;1,14;23,67;27,12;;433,00;391,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1985;49,258726;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;75,18;0,03;0,74;;;;;30,25;0,00;9,24;11,87;;;;;;;;;0,46;4,75;0,17;4,08;0,46;4,75;0,17;4,08;0,25;;0,09;2,18;9,15;406,15;;0,00;0,00;0,00;0,88;406,15;20,80;21,13;;882,03;45,07;;3,80;1,18;23,91;28,13;;433,00;406,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1986;50,60236;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;76,45;0,03;0,75;;;;;32,46;0,00;10,29;13,20;;;;;;;;;0,53;5,47;0,20;4,70;0,53;5,47;0,20;4,70;0,28;;0,09;2,14;8,97;408,26;;0,00;0,00;0,00;0,89;408,26;20,86;21,19;;806,47;41,14;;4,50;1,20;23,81;28,78;;443,00;424,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1987;51,991696;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;80,71;0,03;0,79;;;;;35,65;0,00;11,72;14,97;;;;;;;;;0,58;6,04;0,22;5,20;0,58;6,04;0,22;5,20;0,30;;0,09;2,14;8,97;431,01;;0,00;0,00;0,00;0,94;431,01;22,05;22,39;;907,48;46,25;;4,69;1,28;24,58;30,53;;523,00;450,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1988;53,399243;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;81,04;0,04;0,87;;;;;38,71;0,00;13,16;16,73;;;;;;;;;0,64;6,66;0,24;5,73;0,64;6,66;0,24;5,73;0,32;;0,09;2,11;8,83;428,69;;0,00;0,00;0,00;0,93;428,69;21,93;22,28;;868,77;44,23;;4,27;1,30;24,29;30,98;;576,00;450,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1989;54,78868;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;85,30;0,04;0,89;;;;;40,61;0,00;13,72;17,41;;;;;;;;;0,72;7,45;0,27;6,41;0,72;7,45;0,27;6,41;0,34;;0,09;2,27;9,49;446,32;;0,00;0,00;0,00;0,97;446,32;22,72;23,10;;878,02;44,52;;4,30;1,37;24,95;32,65;;583,00;463,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1990;56,134478;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;89,91;0,03;0,76;;;;;41,95;0,00;16,45;15,55;;;;;;;;;0,75;7,77;0,28;6,68;0,75;7,77;0,28;6,68;0,36;;0,10;2,38;9,95;457,23;;0,00;0,00;0,00;0,99;457,23;23,31;23,68;;897,13;45,50;;3,46;1,40;24,98;33,49;;583,00;488,74;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1991;57,424552;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;91,78;0,03;0,78;;;;;43,28;0,00;20,41;12,95;;;;;;;;;0,85;8,74;0,31;7,51;0,85;8,74;0,31;7,51;0,38;;0,10;2,37;9,92;449,40;;0,00;0,00;0,00;0,97;449,40;22,93;23,27;;895,72;45,42;;3,54;1,42;24,74;33,93;;583,00;498,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1992;58,666812;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;88,58;0,03;0,80;;;;;44,99;0,00;22,94;12,24;;;;;;;;;0,91;9,45;0,34;8,13;0,91;9,45;0,34;8,13;0,42;;0,10;2,34;9,80;432,19;;0,00;0,00;0,00;0,94;432,19;21,98;22,34;;905,97;45,99;;3,44;1,41;23,99;33,61;;592,00;485,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1993;59,880656;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;86,59;0,04;0,96;;;;;46,74;0,00;26,17;10,47;;;;;;;;;1,05;10,87;0,39;9,34;1,05;10,87;0,39;9,34;0,57;;0,10;2,41;10,09;408,70;;0,00;0,00;0,00;0,88;408,70;20,54;20,91;;940,69;47,53;;3,43;1,41;23,51;33,63;;633,00;514,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1994;61,095804;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;90,73;0,04;1,04;;;;;48,55;0,00;29,29;8,53;;;;;;;;;1,12;11,55;0,42;9,93;1,13;11,65;0,42;10,01;0,61;;0,11;2,56;10,73;426,72;;0,00;0,00;0,00;0,91;426,72;21,47;21,83;;921,43;46,50;;3,94;1,48;24,24;35,37;;633,00;532,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1995;62,334025;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;95,76;0,03;0,69;;;;;50,65;0,00;30,45;9,01;;;;;;;;;1,17;12,13;0,44;10,43;1,16;12,03;0,43;10,35;0,62;;0,11;2,67;11,19;462,59;;0,00;0,00;0,00;0,99;462,59;23,28;23,68;;923,51;46,59;;3,80;1,57;25,17;37,47;;633,00;548,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1996;63,601632;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;101,62;0,04;0,95;;;;;53,57;0,00;31,51;10,57;;;;;;;;;1,21;12,51;0,45;10,76;1,24;12,80;0,46;11,01;0,82;;0,11;2,74;11,48;488,45;;0,00;0,00;0,00;1,05;488,45;24,60;25,03;;893,83;45,08;;3,84;1,65;25,99;39,49;;645,00;567,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1997;64,892269;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;106,00;0,03;0,81;;;;;56,78;0,00;32,68;12,33;;;;;;;;;1,25;12,90;0,46;11,09;1,27;13,09;0,47;11,26;0,89;;0,12;2,81;11,77;517,85;;0,00;0,00;0,00;1,11;517,85;25,96;26,43;;872,50;43,79;;3,72;1,72;26,54;41,13;;645,00;575,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1998;66,200259;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;109,88;0,03;0,79;;;;;60,70;0,00;32,53;16,06;;;;;;;;;1,28;13,19;0,47;11,34;1,30;13,48;0,49;11,59;0,98;;0,12;2,89;12,10;545,46;;0,00;0,00;0,00;1,16;545,46;27,33;27,81;;856,73;42,96;;3,76;1,79;27,09;42,83;;645,00;588,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1999;67,515591;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;115,73;0,03;0,72;;;;;65,73;0,00;37,23;15,05;;;;;;;;;1,53;15,79;0,57;13,57;1,56;16,17;0,58;13,90;1,18;;0,13;3,21;13,44;561,63;;0,00;0,00;0,00;1,19;561,63;27,91;28,45;;827,45;41,36;;3,77;1,92;28,50;45,96;;645,00;574,75;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
2000;68,831561;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;120,53;0,04;0,87;;;;;73,32;0,00;42,19;16,87;;;;;;;;;1,86;19,25;0,69;16,55;1,95;20,21;0,73;17,38;1,38;;0,14;3,39;14,18;552,63;;0,00;0,00;0,00;1,17;552,63;27,25;27,84;743,78;778,74;38,92;34,96;3,63;2,04;29,60;48,67;;654,00;497,42;0,00;0,02;0,08;0,00;0,02;0,00;0,00;0,00;0,00;0,02;0,08
2001;70,152662;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;126,65;0,03;0,76;;;;;80,71;0,00;48,47;17,65;;;;;;;;;2,28;23,58;0,85;20,28;2,35;24,26;0,87;20,86;1,50;;0,14;3,42;14,41;529,57;;0,00;0,00;0,00;1,10;529,57;25,66;26,29;719,67;758,44;37,60;38,77;3,67;2,13;30,31;50,79;;770,00;578,61;0,00;0,04;0,18;0,00;0,04;0,00;0,00;0,00;0,00;0,04;0,18
2002;71,485044;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;123,85;0,03;0,82;;;;;86,24;0,00;57,45;14,58;;;;;;;;;2,47;25,51;0,92;21,93;2,54;26,28;0,95;22,59;1,59;;0,14;3,30;13,99;525,90;;0,00;0,00;0,00;1,09;525,90;25,33;25,98;715,51;751,42;37,24;35,91;3,53;2,18;30,50;52,08;;810,00;576,62;0,00;0,05;0,21;0,00;0,05;0,00;0,00;0,00;0,00;0,05;0,21
2003;72,826102;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;133,84;0,04;0,85;;;;;92,19;0,00;64,02;14,94;;;;;;;;;2,77;28,59;1,03;24,58;2,80;28,97;1,04;24,91;1,66;;0,13;3,03;12,94;544,67;;0,00;0,00;0,00;1,13;544,67;26,19;26,87;712,66;749,52;37,07;36,87;3,53;2,32;31,85;55,40;;810,00;597,51;0,00;0,07;0,29;0,00;0,07;0,00;0,00;0,00;0,00;0,07;0,29
2004;74,172073;EGY;818,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;132,85;0,04;0,87;;;;;98,25;0,00;74,45;10,47;;;;;;;;;2,94;30,51;1,10;26,23;3,06;31,76;1,14;27,31;1,80;;0,13;2,99;12,83;526,77;;0,00;0,00;0,00;1,08;526,77;25,16;25,85;666,51;701,06;34,84;34,55;3,62;2,35;31,64;56,06;;810,00;625,41;0,00;0,12;0,51;0,00;0,12;0,00;0,00;0,00;0,00;0,12;0,50
